city_code,zip_code,latitude,longitude
altrippe,57660,49.028102643,6.815985041
altviller,57730,49.069159375,6.731599772
altwiller,67260,48.915535174,6.980351609
aluze,71510,46.852000824,4.690401561
alvignac,46500,44.833583975,1.6855300510000002
alvimare,76640,49.606943386,0.63238274
alzen,9240,42.981477991,1.455583307
alzi,20212,42.31255873,9.314211407
alzing,57320,49.276565045,6.553389254
alzon,30770,43.973904809,3.447073711
alzonne,11170,43.265225733,2.174803002
amage,70280,47.846082414,6.497632308
amagne,8300,49.516074695,4.502827092
amagney,25220,47.305243075,6.148758974
amailloux,79350,46.749428823,-0.313637251
amance,10140,48.291580812,4.485997306
amance,54770,48.755372418,6.309828599
amance,70160,47.79009351,6.053045602
amancey,25330,47.031012477,6.076248417
amancy,74800,46.073169717,6.330360006
amange,39700,47.167494802,5.564771256
amanlis,35150,47.999806826,-1.496122011
amanty,55130,48.515476429,5.604950119
amanvillers,57865,49.159937907,6.046301462
amanze,71800,46.326471131,4.236350327
amarens,81170,44.043629372,1.920804586
amathay vesigneux,25330,47.023097865,6.195852083
amaye sur orne,14210,49.091205048,-0.434631233
amaye sur seulles,14310,49.082806873,-0.7187559680000001
amazy,58190,47.383317688,3.560930747
ambacourt,88500,48.351918261,6.139617189
ambares et lagrave,33440,44.944318702,-0.500835162
ambax,31230,43.368429934,0.936646828
ambazac,87240,45.953447091,1.399473068
ambel,38970,44.800072796,5.933301697
ambenay,27250,48.840243242,0.7408847190000001
amberac,16140,45.856242836,0.058930674
amberieu en bugey,1500,45.961048852,5.372275427
amberieux,69480,45.928617479,4.74036159
amberieux en dombes,1330,45.99616357,4.911967138
ambernac,16490,45.974715365,0.5568083340000001
amberre,86110,46.758359932,0.153504367
ambert,63600,45.555678137,3.756882059
ambes,33810,45.011910591,-0.5490662
ambeyrac,12260,44.494043263,1.935547446
ambialet,81430,43.926612188,2.375769232
ambiegna,20151,42.087881677,8.77334639
ambierle,42820,46.106348726,3.891476492
ambievillers,70210,47.996043428,6.140084042
ambillou,37340,47.452077816,0.446281111
ambilly,74100,46.196323189,6.224221286
amblainville,60110,49.206978516,2.120010182
amblans et velotte,70200,47.680835705,6.417873412
ambleny,2290,49.376624509,3.183778907
ambleon,1300,45.749886304,5.594584599
ambleteuse,62164,50.811855704,1.621191096
ambleville,95710,49.150476298,1.694631625
ambloy,41310,47.709042218,0.969546737
ambly fleury,8130,49.488795424,4.489050609
ambly sur meuse,55300,49.022676248,5.452331066
amboise,37400,47.391659896,1.000240215
ambon,56190,47.557163,-2.541061818
ambonil,26800,44.792178622,4.910072732
ambonnay,51150,49.087299195,4.171915349
ambonville,52110,48.313927373,5.010853706
ambrault,36120,46.783804042,1.949277415
ambres,81500,43.728624217,1.831538189
